---LOG ANALISIS LEXICO---
Archivo: algoritmo_julio.cs

TOKENS RECONOCIDOS:
Token:STATIC, Valor: 'static', Linea: 5
Token:VOID, Valor: 'void', Linea: 5
Token:IDENTIFICADOR, Valor: 'Main', Linea: 5
Token:PARENTESIS_IZQ, Valor: '(', Linea: 5
Token:PARENTESIS_DER, Valor: ')', Linea: 5
Token:LLAVE_IZQ, Valor: '{', Linea: 5
Token:INT, Valor: 'int', Linea: 7
Token:IDENTIFICADOR, Valor: 'edad', Linea: 7
Token:IGUAL, Valor: '=', Linea: 7
Token:ENTERO, Valor: '20', Linea: 7
Token:PUNTO_COMA, Valor: ';', Linea: 7
Token:FLOAT, Valor: 'float', Linea: 8
Token:IDENTIFICADOR, Valor: 'pesoInicial', Linea: 8
Token:IGUAL, Valor: '=', Linea: 8
Token:FLOTANTE, Valor: '75.5', Linea: 8
Token:PUNTO_COMA, Valor: ';', Linea: 8
Token:STRING, Valor: 'string', Linea: 9
Token:IDENTIFICADOR, Valor: 'nombreUsuario', Linea: 9
Token:IGUAL, Valor: '=', Linea: 9
Token:CADENA, Valor: '"Julio_Cevallos"', Linea: 9
Token:PUNTO_COMA, Valor: ';', Linea: 9
Token:BOOL, Valor: 'bool', Linea: 10
Token:IDENTIFICADOR, Valor: 'estadoActivo', Linea: 10
Token:IGUAL, Valor: '=', Linea: 10
Token:TRUE, Valor: 'true', Linea: 10
Token:PUNTO_COMA, Valor: ';', Linea: 10
Token:BOOL, Valor: 'bool', Linea: 11
Token:IDENTIFICADOR, Valor: 'estadoInactivo', Linea: 11
Token:IGUAL, Valor: '=', Linea: 11
Token:FALSE, Valor: 'false', Linea: 11
Token:PUNTO_COMA, Valor: ';', Linea: 11
Token:BOOL, Valor: 'bool', Linea: 14
Token:IDENTIFICADOR, Valor: 'estadoNegado', Linea: 14
Token:IGUAL, Valor: '=', Linea: 14
Token:NOT, Valor: '!', Linea: 14
Token:IDENTIFICADOR, Valor: 'estadoActivo', Linea: 14
Token:PUNTO_COMA, Valor: ';', Linea: 14
Token:FLOAT, Valor: 'float', Linea: 17
Token:IDENTIFICADOR, Valor: 'a', Linea: 17
Token:IGUAL, Valor: '=', Linea: 17
Token:FLOTANTE, Valor: '1.5', Linea: 17
Token:COMA, Valor: ',', Linea: 17
Token:IDENTIFICADOR, Valor: 'b', Linea: 17
Token:IGUAL, Valor: '=', Linea: 17
Token:FLOTANTE, Valor: '4.2', Linea: 17
Token:COMA, Valor: ',', Linea: 17
Token:IDENTIFICADOR, Valor: 'c', Linea: 17
Token:IGUAL, Valor: '=', Linea: 17
Token:FLOTANTE, Valor: '3.14', Linea: 17
Token:PUNTO_COMA, Valor: ';', Linea: 17
Token:INT, Valor: 'int', Linea: 20
Token:IDENTIFICADOR, Valor: 'suma', Linea: 20
Token:IGUAL, Valor: '=', Linea: 20
Token:PARENTESIS_IZQ, Valor: '(', Linea: 20
Token:ENTERO, Valor: '10', Linea: 20
Token:MAS, Valor: '+', Linea: 20
Token:ENTERO, Valor: '5', Linea: 20
Token:PARENTESIS_DER, Valor: ')', Linea: 20
Token:MENOS, Valor: '-', Linea: 20
Token:ENTERO, Valor: '2', Linea: 20
Token:PUNTO_COMA, Valor: ';', Linea: 20
Token:FLOAT, Valor: 'float', Linea: 21
Token:IDENTIFICADOR, Valor: 'multiplicacion', Linea: 21
Token:IGUAL, Valor: '=', Linea: 21
Token:PARENTESIS_IZQ, Valor: '(', Linea: 21
Token:IDENTIFICADOR, Valor: 'a', Linea: 21
Token:MULT, Valor: '*', Linea: 21
Token:IDENTIFICADOR, Valor: 'b', Linea: 21
Token:PARENTESIS_DER, Valor: ')', Linea: 21
Token:MAS, Valor: '+', Linea: 21
Token:IDENTIFICADOR, Valor: 'c', Linea: 21
Token:PUNTO_COMA, Valor: ';', Linea: 21
Token:FLOAT, Valor: 'float', Linea: 22
Token:IDENTIFICADOR, Valor: 'division', Linea: 22
Token:IGUAL, Valor: '=', Linea: 22
Token:IDENTIFICADOR, Valor: 'pesoInicial', Linea: 22
Token:DIV, Valor: '/', Linea: 22
Token:FLOTANTE, Valor: '2.0', Linea: 22
Token:PUNTO_COMA, Valor: ';', Linea: 22
Token:INT, Valor: 'int', Linea: 23
Token:IDENTIFICADOR, Valor: 'modulo', Linea: 23
Token:IGUAL, Valor: '=', Linea: 23
Token:ENTERO, Valor: '15', Linea: 23
Token:MOD, Valor: '%', Linea: 23
Token:ENTERO, Valor: '4', Linea: 23
Token:PUNTO_COMA, Valor: ';', Linea: 23
Token:BOOL, Valor: 'bool', Linea: 26
Token:IDENTIFICADOR, Valor: 'esMayor', Linea: 26
Token:IGUAL, Valor: '=', Linea: 26
Token:IDENTIFICADOR, Valor: 'a', Linea: 26
Token:MAYOR, Valor: '>', Linea: 26
Token:IDENTIFICADOR, Valor: 'b', Linea: 26
Token:PUNTO_COMA, Valor: ';', Linea: 26
Token:BOOL, Valor: 'bool', Linea: 27
Token:IDENTIFICADOR, Valor: 'esMenorIgual', Linea: 27
Token:IGUAL, Valor: '=', Linea: 27
Token:IDENTIFICADOR, Valor: 'c', Linea: 27
Token:MENOR_IGUAL, Valor: '<=', Linea: 27
Token:FLOTANTE, Valor: '5.0', Linea: 27
Token:PUNTO_COMA, Valor: ';', Linea: 27
Token:BOOL, Valor: 'bool', Linea: 28
Token:IDENTIFICADOR, Valor: 'esIgual', Linea: 28
Token:IGUAL, Valor: '=', Linea: 28
Token:IDENTIFICADOR, Valor: 'edad', Linea: 28
Token:IGUAL_IGUAL, Valor: '==', Linea: 28
Token:ENTERO, Valor: '20', Linea: 28
Token:PUNTO_COMA, Valor: ';', Linea: 28
Token:BOOL, Valor: 'bool', Linea: 29
Token:IDENTIFICADOR, Valor: 'esDiferente', Linea: 29
Token:IGUAL, Valor: '=', Linea: 29
Token:PARENTESIS_IZQ, Valor: '(', Linea: 29
Token:IDENTIFICADOR, Valor: 'suma', Linea: 29
Token:DIFERENTE, Valor: '!=', Linea: 29
Token:ENTERO, Valor: '10', Linea: 29
Token:PARENTESIS_DER, Valor: ')', Linea: 29
Token:PUNTO_COMA, Valor: ';', Linea: 29
Token:BOOL, Valor: 'bool', Linea: 30
Token:IDENTIFICADOR, Valor: 'esMayorIgual', Linea: 30
Token:IGUAL, Valor: '=', Linea: 30
Token:PARENTESIS_IZQ, Valor: '(', Linea: 30
Token:IDENTIFICADOR, Valor: 'pesoInicial', Linea: 30
Token:MAYOR_IGUAL, Valor: '>=', Linea: 30
Token:FLOTANTE, Valor: '70.0', Linea: 30
Token:PARENTESIS_DER, Valor: ')', Linea: 30
Token:PUNTO_COMA, Valor: ';', Linea: 30
Token:INT, Valor: 'int', Linea: 33
Token:CORCHETE_IZQ, Valor: '[', Linea: 33
Token:CORCHETE_DER, Valor: ']', Linea: 33
Token:IDENTIFICADOR, Valor: 'vec', Linea: 33
Token:IGUAL, Valor: '=', Linea: 33
Token:NEW, Valor: 'new', Linea: 33
Token:INT, Valor: 'int', Linea: 33
Token:CORCHETE_IZQ, Valor: '[', Linea: 33
Token:ENTERO, Valor: '5', Linea: 33
Token:CORCHETE_DER, Valor: ']', Linea: 33
Token:PUNTO_COMA, Valor: ';', Linea: 33
Token:INT, Valor: 'int', Linea: 34
Token:CORCHETE_IZQ, Valor: '[', Linea: 34
Token:CORCHETE_DER, Valor: ']', Linea: 34
Token:IDENTIFICADOR, Valor: 'vecVacio', Linea: 34
Token:PUNTO_COMA, Valor: ';', Linea: 34
Token:WHILE, Valor: 'while', Linea: 37
Token:PARENTESIS_IZQ, Valor: '(', Linea: 37
Token:IDENTIFICADOR, Valor: 'a', Linea: 37
Token:MAYOR, Valor: '>', Linea: 37
Token:ENTERO, Valor: '2', Linea: 37
Token:PARENTESIS_DER, Valor: ')', Linea: 37
Token:LLAVE_IZQ, Valor: '{', Linea: 37
Token:IDENTIFICADOR, Valor: 'a', Linea: 38
Token:IGUAL, Valor: '=', Linea: 38
Token:IDENTIFICADOR, Valor: 'a', Linea: 38
Token:MAS, Valor: '+', Linea: 38
Token:ENTERO, Valor: '1', Linea: 38
Token:PUNTO_COMA, Valor: ';', Linea: 38
Token:LLAVE_DER, Valor: '}', Linea: 39
Token:CONSOLE, Valor: 'Console', Linea: 42
Token:PUNTO, Valor: '.', Linea: 42
Token:WRITE, Valor: 'Write', Linea: 42
Token:PARENTESIS_IZQ, Valor: '(', Linea: 42
Token:CADENA, Valor: '"Ingrese un nuevo valor: "', Linea: 42
Token:PARENTESIS_DER, Valor: ')', Linea: 42
Token:PUNTO_COMA, Valor: ';', Linea: 42
Token:STRING, Valor: 'string', Linea: 43
Token:IDENTIFICADOR, Valor: 'entrada', Linea: 43
Token:IGUAL, Valor: '=', Linea: 43
Token:CONSOLE, Valor: 'Console', Linea: 43
Token:PUNTO, Valor: '.', Linea: 43
Token:READLINE, Valor: 'ReadLine', Linea: 43
Token:PARENTESIS_IZQ, Valor: '(', Linea: 43
Token:PARENTESIS_DER, Valor: ')', Linea: 43
Token:PUNTO_COMA, Valor: ';', Linea: 43
Token:CONSOLE, Valor: 'Console', Linea: 46
Token:PUNTO, Valor: '.', Linea: 46
Token:WRITELINE, Valor: 'WriteLine', Linea: 46
Token:PARENTESIS_IZQ, Valor: '(', Linea: 46
Token:CADENA, Valor: '"Análisis completado con éxito."', Linea: 46
Token:PARENTESIS_DER, Valor: ')', Linea: 46
Token:PUNTO_COMA, Valor: ';', Linea: 46
Token:LLAVE_DER, Valor: '}', Linea: 47

ERRORES LEXICOS ENCONTRADOS:
Ninguno.
